Team 1,Team 2,Time Left,Team 1 Score,Team 2 Score,Raid Success Rate 1,Raid Success Rate 2,Tackle Success Rate 1,Tackle Success Rate 2,Outcome
Telugu Titans,Bengaluru Bulls,1,22,21,0.024910883472998413,0.4959879845235966,0.37650474016242563,0.826107183786717,Team 1 Wins
Gujarat Giants,Bengal Warriors,24,48,50,0.4567018998689478,0.06656989106206912,0.38508372548934877,0.5877137033917732,Team 2 Wins
Gujarat Giants,U.P. Yoddhas,14,47,6,0.510596060104127,0.46742744225537036,0.37322983679592225,0.6268635942723428,Team 1 Wins
Puneri Paltan,Tamil Thalaivas,27,32,2,0.5056532170624528,0.2950639693928263,0.8041645580100841,0.13603531719817696,Team 1 Wins
U.P. Yoddhas,Puneri Paltan,28,48,49,0.43349275175182245,0.06493818434245202,0.5573732416361263,0.18491728124424278,Team 2 Wins
U.P. Yoddhas,Puneri Paltan,34,1,1,0.36712165955753484,0.5797944825959841,0.9702650784566318,0.19363842560262268,Draw
Bengal Warriors,Jaipur Pink Panthers,4,40,34,0.06460494586105159,0.13308724725129573,0.41256725813867257,0.6524948166183718,Team 1 Wins
Patna Pirates,Tamil Thalaivas,1,33,32,0.18149003968421906,0.5659366937221744,0.8328948792510839,0.8282027497735295,Team 1 Wins
Gujarat Giants,U Mumba,20,16,36,0.5935101339275571,0.2550589385113554,0.4853619336052335,0.08930876361829942,Team 2 Wins
U Mumba,Jaipur Pink Panthers,18,15,49,0.494790451758625,0.919104513441066,0.36594428784154587,0.9084939822827296,Team 2 Wins
Gujarat Giants,Puneri Paltan,3,8,25,0.414159488395784,0.5316592946904815,0.2317336932619859,0.027018726987035557,Team 2 Wins
Jaipur Pink Panthers,Tamil Thalaivas,30,27,36,0.052660947428828875,0.4411867697030566,0.2352810020046413,0.10115847271216505,Team 2 Wins
U.P. Yoddhas,U Mumba,25,16,40,0.5859313758435549,0.845684156776035,0.4260395842025956,0.9111276533715129,Team 2 Wins
Jaipur Pink Panthers,Dabang Delhi K.C.,1,38,39,0.6945569655658721,0.6790109735031172,0.5114629269471187,0.5687743238246149,Team 2 Wins
Telugu Titans,Gujarat Giants,1,7,38,0.1348785279160526,0.1822392779572004,0.538379169972006,0.6365653857139414,Team 2 Wins
Bengal Warriors,U Mumba,30,2,4,0.6804223981871153,0.4344575641101107,0.6046217525879977,0.18871841956842483,Team 2 Wins
Patna Pirates,Telugu Titans,10,11,46,0.30329568394176787,0.9631190651827468,0.7149537673633006,0.272300658392296,Team 2 Wins
Telugu Titans,Tamil Thalaivas,15,48,7,0.06256473320883893,0.10699103828967538,0.4041383029892486,0.6283204932758376,Team 1 Wins
Gujarat Giants,Puneri Paltan,35,9,11,0.9144487273066843,0.21985360532141407,0.8199786434074311,0.32889440425337135,Team 2 Wins
U Mumba,Tamil Thalaivas,30,6,11,0.5439913776153679,0.644046960415053,0.20552803853121038,0.5786549491642017,Team 2 Wins
Patna Pirates,Haryana Steelers,33,46,18,0.7361095874316215,0.4680983048832392,0.23007375957158382,0.577184613807853,Team 1 Wins
Jaipur Pink Panthers,Haryana Steelers,40,44,4,0.4018428536752999,0.7410806666118075,0.9245551785402609,0.4447326583786394,Team 1 Wins
Haryana Steelers,Patna Pirates,21,34,45,0.563885721541982,0.6532821976031881,0.12368521048434811,0.06548586607980877,Team 2 Wins
Gujarat Giants,Bengaluru Bulls,17,19,35,0.7753921719500664,0.05729327804098816,0.07030518317273893,0.055812690209334215,Team 2 Wins
Patna Pirates,Bengaluru Bulls,9,36,29,0.8644187162448278,0.3872519682634109,0.38139349409102663,0.03619818065905667,Team 1 Wins
Tamil Thalaivas,Jaipur Pink Panthers,0,33,31,0.2672218595492193,0.5596900251773899,0.8748434410250618,0.6430871883199069,Team 1 Wins
Dabang Delhi K.C.,Jaipur Pink Panthers,35,28,36,0.6288049665003932,0.6285321266631215,0.13583216839829226,0.9005651929929245,Team 2 Wins
U.P. Yoddhas,Bengal Warriors,22,20,14,0.5656291650066343,0.22162952273515135,0.9302417284591235,0.712217830504127,Team 1 Wins
Tamil Thalaivas,Patna Pirates,5,35,43,0.8636383740883071,0.8702404585184436,0.003465435330017197,0.6944708814158409,Team 2 Wins
Gujarat Giants,Bengal Warriors,37,4,15,0.04224234641585489,0.2605942728137023,0.6236461992257105,0.25824397426780266,Team 2 Wins
Dabang Delhi K.C.,Gujarat Giants,35,18,27,0.3507283642502882,0.7683190280937613,0.20923983433516935,0.5993701659002377,Team 2 Wins
Gujarat Giants,Tamil Thalaivas,23,43,4,0.17927447297521337,0.730336585736716,0.1266974009184868,0.431352014231408,Team 1 Wins
Patna Pirates,Telugu Titans,6,24,6,0.30730426646959585,0.7154758618643658,0.7452885375041975,0.9997084636325485,Team 1 Wins
Dabang Delhi K.C.,Bengaluru Bulls,8,17,27,0.32436401653584734,0.6535020734566991,0.9845742107075705,0.5013106242259434,Team 2 Wins
U Mumba,Haryana Steelers,20,15,1,0.12305808900351589,0.37862332207922333,0.2878202366513163,0.7315873999095251,Team 1 Wins
Jaipur Pink Panthers,Puneri Paltan,19,44,36,0.11851109796844606,0.17624427653364294,0.301238738675601,0.13201913300122836,Team 1 Wins
Bengal Warriors,Jaipur Pink Panthers,20,49,18,0.6655613802120192,0.6525108294316516,0.24087810366115114,0.8575670596425877,Team 1 Wins
Haryana Steelers,Puneri Paltan,16,7,2,0.6781118458423939,0.24500251210100832,0.6620574048691333,0.5353874959293307,Team 1 Wins
Bengal Warriors,U.P. Yoddhas,34,40,50,0.49560881224287145,0.6888189079213782,0.26499675916645515,0.4542857657067527,Team 2 Wins
Bengaluru Bulls,Jaipur Pink Panthers,6,37,8,0.16511497799527008,0.560912772697843,0.15450162271828838,0.5213167552330227,Team 1 Wins
U.P. Yoddhas,Patna Pirates,36,36,5,0.3150821004844997,0.6209171570133256,0.10053764597724812,0.11650411136193306,Team 1 Wins
Puneri Paltan,U.P. Yoddhas,2,7,3,0.6724427416481713,0.46822526485641425,0.07999314199515162,0.21283480565378776,Team 1 Wins
Jaipur Pink Panthers,U Mumba,17,8,40,0.5436866635048452,0.588384261456004,0.07242445830529065,0.004644392801019248,Team 2 Wins
Tamil Thalaivas,Puneri Paltan,19,42,8,0.3328970016770728,0.8004134930288666,0.4566993580251181,0.4865858822719207,Team 1 Wins
Puneri Paltan,U.P. Yoddhas,9,23,3,0.8631544714420414,0.1678369194742947,0.9725091764110761,0.742947387240263,Team 1 Wins
Puneri Paltan,Dabang Delhi K.C.,21,25,22,0.22402025325573793,0.9066040478309558,0.4087041915302526,0.10614496978776078,Team 1 Wins
U Mumba,Patna Pirates,32,22,14,0.42641254546621044,0.2345094595378584,0.596708764834017,0.48696982677854506,Team 1 Wins
Haryana Steelers,U.P. Yoddhas,17,18,21,0.4438341879099754,0.10656326232740454,0.8391980562065219,0.06254768078488182,Team 2 Wins
Haryana Steelers,Bengal Warriors,18,47,13,0.3324112197194943,0.4594094252764178,0.459930931937806,0.8510803926289069,Team 1 Wins
Haryana Steelers,Dabang Delhi K.C.,36,30,47,0.131643831405032,0.49115747086267014,0.22015100026211287,0.01721208352953474,Team 2 Wins
U Mumba,Dabang Delhi K.C.,31,1,1,0.09249781346129615,0.8981084258002836,0.5926661956902529,0.39530213263781055,Draw
Bengal Warriors,U Mumba,38,21,37,0.869492167846238,0.43609917729201253,0.6511608401358929,0.8887939627215482,Team 2 Wins
U Mumba,Dabang Delhi K.C.,34,24,37,0.09370933979161544,0.5663466268089524,0.7640863000922545,0.282818951279013,Team 2 Wins
Bengaluru Bulls,U.P. Yoddhas,13,24,30,0.8664839946925869,0.9799997253829746,0.9805591595965103,0.046914040293651316,Team 2 Wins
Jaipur Pink Panthers,Gujarat Giants,37,16,16,0.7693236997331315,0.45925447625499494,0.26770437089001964,0.46028412224254656,Draw
Dabang Delhi K.C.,U.P. Yoddhas,2,34,20,0.7704489223772373,0.47307079199894486,0.9009704763520276,0.8129089216434356,Team 1 Wins
Tamil Thalaivas,Puneri Paltan,11,21,43,0.9125026852957225,0.8318198335645681,0.8140883618758364,0.6027047511472434,Team 2 Wins
U.P. Yoddhas,U Mumba,26,6,45,0.23398654611494796,0.6726519587119147,0.7533956093547832,0.6656571320201153,Team 2 Wins
Bengaluru Bulls,Jaipur Pink Panthers,37,27,30,0.08648498892303969,0.9881311078111275,0.7866776995891043,0.9094163643872416,Team 2 Wins
Bengaluru Bulls,Jaipur Pink Panthers,30,5,0,0.11833026638941602,0.5600863779552884,0.9764314873462182,0.1269922724128827,Team 1 Wins
Haryana Steelers,U.P. Yoddhas,14,9,3,0.17246763957852151,0.8896387987888672,0.45960928105502086,0.5509218059768632,Team 1 Wins
Bengaluru Bulls,U.P. Yoddhas,15,39,42,0.05152252747957675,0.42148949429836247,0.5426475769789667,0.15947428409047637,Team 2 Wins
Tamil Thalaivas,Patna Pirates,14,14,49,0.5948687687772486,0.7674833288754964,0.7553332099345086,0.37947884278356714,Team 2 Wins
Bengal Warriors,Puneri Paltan,32,47,35,0.7251263865101889,0.5772992755265769,0.3315507606117909,0.6911118045211482,Team 1 Wins
Jaipur Pink Panthers,Patna Pirates,22,37,46,0.10690688623564415,0.6928044241700906,0.2708187804904574,0.6446235947548827,Team 2 Wins
Patna Pirates,Bengaluru Bulls,27,45,42,0.7782403314878944,0.8747129678440572,0.22478472149253537,0.35636012968230135,Team 1 Wins
Patna Pirates,Puneri Paltan,10,20,13,0.9948333231810057,0.7273762391856888,0.9294219429791785,0.11870649862358018,Team 1 Wins
Dabang Delhi K.C.,Bengal Warriors,8,29,1,0.3720462996787892,0.13337591470503085,0.13377114689244463,0.4581691130879152,Team 1 Wins
Dabang Delhi K.C.,U.P. Yoddhas,13,27,48,0.6701871757614315,0.3101162595149676,0.042183143472929285,0.9817414984339357,Team 2 Wins
Dabang Delhi K.C.,Gujarat Giants,25,26,14,0.059819512459748814,0.30719794388792065,0.32087598504288584,0.0661026863174734,Team 1 Wins
Tamil Thalaivas,Gujarat Giants,7,24,15,0.3339306601117178,0.6310834304469644,0.8090903738433051,0.8967786498855659,Team 1 Wins
Jaipur Pink Panthers,Gujarat Giants,38,49,24,0.9773309088972224,0.7794200087708981,0.6021984730135339,0.754270792260829,Team 1 Wins
U.P. Yoddhas,Bengaluru Bulls,24,11,22,0.9522460931452298,0.9073280097834524,0.619815129252733,0.678175957468809,Team 2 Wins
Puneri Paltan,Telugu Titans,25,14,42,0.12139773890767136,0.10292141644527353,0.5077953121045192,0.3383284421588638,Team 2 Wins
Gujarat Giants,Patna Pirates,28,42,46,0.4690030579232908,0.9192998601383834,0.36837509581909944,0.7017587248951304,Team 2 Wins
Dabang Delhi K.C.,U Mumba,10,43,22,0.7061917492331571,0.9073324947096952,0.34769730558385514,0.6227855405056435,Team 1 Wins
Jaipur Pink Panthers,Patna Pirates,14,30,41,0.2832368619388955,0.9460905409332652,0.036319476565925046,0.43490728912665355,Team 2 Wins
U Mumba,Dabang Delhi K.C.,20,13,26,0.4223504055834877,0.9057388878729732,0.28671356881466303,0.9301659162970535,Team 2 Wins
Patna Pirates,Bengal Warriors,12,31,11,0.015041411384116854,0.06358717799236391,0.4022924792824015,0.1765515054316077,Team 1 Wins
Puneri Paltan,U.P. Yoddhas,0,50,35,0.5998049939659417,0.010611134539105671,0.9285763216752531,0.5489001698030943,Team 1 Wins
Puneri Paltan,Bengal Warriors,13,48,5,0.11640672756942005,0.13682773506054324,0.3473977150454478,0.5064490094685655,Team 1 Wins
Bengal Warriors,Dabang Delhi K.C.,20,12,10,0.18539145838379545,0.8678366433920763,0.11493537976089674,0.6655637463091777,Team 1 Wins
U Mumba,Dabang Delhi K.C.,16,34,50,0.6361491122324155,0.2716609285725343,0.19695785543382516,0.5242257243834938,Team 2 Wins
Jaipur Pink Panthers,Bengaluru Bulls,25,50,23,0.8896748288653374,0.1738672851229368,0.28496871974652804,0.7946980819335466,Team 1 Wins
Telugu Titans,Tamil Thalaivas,28,40,14,0.8114936056513327,0.8762988073532473,0.9004989402580121,0.2683531710855174,Team 1 Wins
U.P. Yoddhas,Haryana Steelers,8,29,43,0.2064407603966728,0.3580581230945802,0.012192552608285445,0.40097255629700834,Team 2 Wins
Haryana Steelers,Jaipur Pink Panthers,29,34,29,0.3076023575196519,0.5924913623468636,0.2369866238371442,0.3757628236563597,Team 1 Wins
Patna Pirates,Dabang Delhi K.C.,34,34,15,0.977027987195216,0.6523237000499581,0.5231724067409287,0.8082239235880317,Team 1 Wins
Bengaluru Bulls,U.P. Yoddhas,12,15,3,0.751186035491313,0.9675351519945812,0.48227221879214466,0.6014446388815838,Team 1 Wins
Gujarat Giants,Tamil Thalaivas,40,34,39,0.7899415246571769,0.11643354558064467,0.3964238262602423,0.6546061097632465,Team 2 Wins
U Mumba,Bengaluru Bulls,8,47,38,0.8952705168256926,0.39564875362342133,0.479788594073853,0.4523153823140609,Team 1 Wins
U Mumba,Tamil Thalaivas,25,39,36,0.24244029568586634,0.4429731565840186,0.5591115499628779,0.41996509150423167,Team 1 Wins
Puneri Paltan,Gujarat Giants,14,34,25,0.6743149116729579,0.21710371872885037,0.3583609553895333,0.31352601384341927,Team 1 Wins
Puneri Paltan,U.P. Yoddhas,19,36,12,0.34621919106036436,0.5317130693736491,0.8261211697003202,0.6287491328510048,Team 1 Wins
Gujarat Giants,Bengal Warriors,7,6,7,0.318854370115343,0.42572231674931515,0.8720378626286209,0.5465691952448719,Team 2 Wins
Jaipur Pink Panthers,Bengaluru Bulls,12,46,11,0.36998993757465537,0.9516211916959465,0.9204476732394479,0.7490739113636863,Team 1 Wins
Jaipur Pink Panthers,Puneri Paltan,3,27,2,0.5117042061915533,0.7141483142585736,0.17723607443058642,0.03998178563405286,Team 1 Wins
Bengaluru Bulls,Patna Pirates,5,28,48,0.12568430531560848,0.8205840789071724,0.47447107900168006,0.47785394248940505,Team 2 Wins
Puneri Paltan,Bengal Warriors,1,7,26,0.7752503518903211,0.27469550147401967,0.44309687518952257,0.6515404038513991,Team 2 Wins
Bengaluru Bulls,Haryana Steelers,16,24,50,0.10746498247741265,0.8980652434701264,0.12454884645479136,0.8304769170771666,Team 2 Wins
Patna Pirates,Gujarat Giants,10,26,44,0.6053180411794505,0.9465137121410734,0.7743095197914419,0.060313479289648475,Team 2 Wins
U.P. Yoddhas,Jaipur Pink Panthers,28,23,6,0.023462151709734202,0.20581492314298466,0.13803241836806612,0.6684069868889613,Team 1 Wins
Gujarat Giants,Haryana Steelers,5,35,29,0.6574093239402974,0.5513814865863433,0.2855957393148497,0.45235350451529055,Team 1 Wins
Haryana Steelers,Dabang Delhi K.C.,12,27,35,0.5110927317667138,0.5507377627932647,0.8967535736255474,0.6441542733908623,Team 2 Wins
Patna Pirates,Dabang Delhi K.C.,0,25,25,0.22084400169582152,0.7055192891589933,0.4195676389756161,0.9256929788993304,Draw
Haryana Steelers,Bengaluru Bulls,19,3,10,0.7656992228073395,0.42089060876408657,0.31428676127607136,0.7634157100697226,Team 2 Wins
Bengaluru Bulls,Puneri Paltan,1,18,34,0.8486230124933866,0.36274093789604545,0.05032881467797956,0.08877963615907358,Team 2 Wins
Jaipur Pink Panthers,Dabang Delhi K.C.,11,20,19,0.09453921232605866,0.1122905218448158,0.15871576732864445,0.8799481883075044,Team 1 Wins
Telugu Titans,Puneri Paltan,18,34,40,0.44865431813703194,0.5326780090818227,0.05245367869894013,0.004582443149159787,Team 2 Wins
U.P. Yoddhas,Telugu Titans,7,40,6,0.07305097227353341,0.5211171554478891,0.5043651700596808,0.30045480861614093,Team 1 Wins
Patna Pirates,Bengal Warriors,16,38,23,0.4602057749255569,0.8304432440431503,0.3258649958378075,0.05317276033964391,Team 1 Wins
Patna Pirates,Dabang Delhi K.C.,15,29,14,0.6947581999474343,0.3797449550835321,0.5500469811369788,0.22236595569303053,Team 1 Wins
Bengal Warriors,Puneri Paltan,22,10,44,0.8624940947863889,0.13602618063690297,0.8381962149429927,0.5767528052221955,Team 2 Wins
Jaipur Pink Panthers,Patna Pirates,27,1,36,0.960168334473147,0.2195739290746278,0.09580854410336448,0.20699080217849652,Team 2 Wins
Haryana Steelers,Puneri Paltan,6,21,34,0.13864875076654937,0.6070688931330649,0.7874231860155468,0.8857178654046914,Team 2 Wins
Bengal Warriors,Tamil Thalaivas,7,17,14,0.012544059442077371,0.4831743148563795,0.14911935036656476,0.7414888713285164,Team 1 Wins
Bengal Warriors,Patna Pirates,10,32,38,0.8808044214400201,0.8826504196438552,0.4948640980218578,0.3607496986721288,Team 2 Wins
Dabang Delhi K.C.,U.P. Yoddhas,25,48,35,0.040372001423023884,0.5775976360323185,0.4499860723736555,0.4008921729371504,Team 1 Wins
Haryana Steelers,Dabang Delhi K.C.,39,24,10,0.8518818982582167,0.16858783594389315,0.7329541180397239,0.1744299518342306,Team 1 Wins
Dabang Delhi K.C.,U Mumba,11,1,10,0.8371361904057198,0.8366233148293806,0.8719256704654204,0.8566529062683815,Team 2 Wins
Haryana Steelers,Puneri Paltan,30,50,31,0.03896887315892328,0.4935233917910221,0.7264927047262223,0.28005264916170713,Team 1 Wins
Puneri Paltan,U Mumba,40,46,9,0.8148209343579518,0.11657532327469944,0.23678656324898972,0.3006284185094089,Team 1 Wins
U Mumba,Gujarat Giants,40,1,42,0.6952294497280481,0.5021610722359185,0.39362411601731995,0.29520033494695697,Team 2 Wins
U.P. Yoddhas,Gujarat Giants,2,17,6,0.8759418867820942,0.7216980259875643,0.07965647668582687,0.9531880482604992,Team 1 Wins
Patna Pirates,Jaipur Pink Panthers,10,9,10,0.5887335074779084,0.023923159446307407,0.13999933543160759,0.783208785473607,Team 2 Wins
Jaipur Pink Panthers,U.P. Yoddhas,11,1,7,0.5341768825853775,0.749767662227177,0.9153322539180695,0.39174189103307355,Team 2 Wins
Bengaluru Bulls,Bengal Warriors,18,23,46,0.5695850431680035,0.7838635937690738,0.15558297890698725,0.9085044821590816,Team 2 Wins
Jaipur Pink Panthers,Patna Pirates,4,16,4,0.6576534157045404,0.5742673265515496,0.820711165446463,0.07054769726701626,Team 1 Wins
Gujarat Giants,Jaipur Pink Panthers,1,33,44,0.5673215682740063,0.9178015201870616,0.018250303487656883,0.042937617668985406,Team 2 Wins
Gujarat Giants,Dabang Delhi K.C.,3,42,18,0.29764452118049267,0.7613974518107094,0.7039437022242716,0.7751293469873424,Team 1 Wins
U Mumba,Jaipur Pink Panthers,29,45,31,0.8992811834538202,0.33964308214377836,0.6004505919663932,0.7961629139778275,Team 1 Wins
Bengaluru Bulls,U Mumba,21,48,8,0.7730759806263077,0.8790375383156827,0.7633394664098807,0.48064407477406357,Team 1 Wins
Jaipur Pink Panthers,Haryana Steelers,26,13,21,0.08521387990801388,0.5536498835793783,0.7680661099578094,0.1996772593590872,Team 2 Wins
Patna Pirates,Gujarat Giants,9,26,4,0.6327419181332337,0.9763469672929671,0.41446097820774896,0.5339008337455223,Team 1 Wins
Patna Pirates,Gujarat Giants,28,40,12,0.433834471231647,0.9052153429524293,0.30941995906428366,0.36117401002084104,Team 1 Wins
U.P. Yoddhas,Gujarat Giants,6,0,28,0.896718932516961,0.14934072548412214,0.14189555122135133,0.6466412153420049,Team 2 Wins
Puneri Paltan,Haryana Steelers,21,22,26,0.38323306206806995,0.707579352203285,0.9109415989535219,0.7401335697932746,Team 2 Wins
Puneri Paltan,Tamil Thalaivas,10,39,23,0.09123964993279399,0.6755775672992116,0.6296903056515821,0.1271582117267901,Team 1 Wins
Patna Pirates,Bengal Warriors,22,18,1,0.9319228852788676,0.42563377095356647,0.2270528978981491,0.45736857537113984,Team 1 Wins
Bengaluru Bulls,Dabang Delhi K.C.,16,16,20,0.6545058530125261,0.8088791696983452,0.7413392537487244,0.8495343203758727,Team 2 Wins
Dabang Delhi K.C.,Puneri Paltan,38,8,20,0.17744132831849335,0.01308580529196035,0.43032960186435143,0.6095031755746478,Team 2 Wins
Telugu Titans,Bengal Warriors,37,25,20,0.9214770055120227,0.6167269126260828,0.5125178154946077,0.6302481443776373,Team 1 Wins
Puneri Paltan,Patna Pirates,8,48,18,0.5148198384660478,0.8708462013045862,0.023309166394971603,0.7782339229324886,Team 1 Wins
Patna Pirates,Bengaluru Bulls,16,47,39,0.6738852773416718,0.3966472130585821,0.8068973083621158,0.4475632983099478,Team 1 Wins
Tamil Thalaivas,Gujarat Giants,2,12,3,0.3945306243147476,0.8183986929935736,0.2488957880866327,0.4061521818256456,Team 1 Wins
Bengal Warriors,Jaipur Pink Panthers,15,36,27,0.38521065947122146,0.6123862217708523,0.1318681778419335,0.9825263137989882,Team 1 Wins
U.P. Yoddhas,Dabang Delhi K.C.,12,26,41,0.1240481917992805,0.2970082286443063,0.6577883483655995,0.39874366728744326,Team 2 Wins
Bengal Warriors,Puneri Paltan,39,25,14,0.5991245982861932,0.06491764991996629,0.730676706951076,0.32315128266379545,Team 1 Wins
